iter	Passed	Remaining
0	3	773
1	5	557
2	8	558
3	11	586
4	16	641
5	19	627
6	22	630
7	28	684
8	30	643
9	32	615
10	35	612
11	38	599
12	40	577
13	41	552
14	43	539
15	45	518
16	46	504
17	48	489
18	51	490
19	52	476
20	54	464
21	57	462
22	58	449
23	60	440
24	62	439
25	67	453
26	71	455
27	76	470
28	81	477
29	82	468
30	84	458
31	86	452
32	87	445
33	89	438
34	93	439
35	97	442
36	99	436
37	101	432
38	102	424
39	104	417
40	106	411
41	107	404
42	109	401
43	111	394
44	112	388
45	114	383
46	116	378
47	118	373
48	119	368
49	121	364
50	122	358
51	124	354
52	126	350
53	128	346
54	129	342
55	131	338
56	133	334
57	134	330
58	136	326
59	138	323
60	141	321
61	143	319
62	145	315
63	146	311
64	148	308
65	150	304
66	152	302
67	154	299
68	156	296
69	157	293
70	159	290
71	161	286
72	163	284
73	165	281
74	167	278
75	169	275
76	171	274
77	173	271
78	175	268
79	177	265
80	178	262
81	180	259
82	181	256
83	183	253
84	184	250
85	186	247
86	188	244
87	189	241
88	191	238
89	193	236
90	194	233
91	196	230
92	197	227
93	199	224
94	200	221
95	202	218
96	203	216
97	205	213
98	206	210
99	208	208
100	209	205
101	210	202
102	211	199
103	213	197
104	214	194
105	216	191
106	217	189
107	219	186
108	220	184
109	222	181
110	223	179
111	225	176
112	226	174
113	227	171
114	229	169
115	230	167
116	232	164
117	233	162
118	234	159
119	236	157
120	237	155
121	239	153
122	240	150
123	242	148
124	244	146
125	246	144
126	247	142
127	249	140
128	250	138
129	252	135
130	253	133
131	255	131
132	256	129
133	257	126
134	258	124
135	259	122
136	261	120
137	262	118
138	264	115
139	265	113
140	266	111
141	268	109
142	269	107
143	270	105
144	272	103
145	273	101
146	274	99
147	276	97
148	277	94
149	278	92
150	280	90
151	281	88
152	282	86
153	284	84
154	285	82
155	286	80
156	288	78
157	289	76
158	290	75
159	292	73
160	293	71
161	294	69
162	295	67
163	297	65
164	298	63
165	299	61
166	300	59
167	301	57
168	302	55
169	304	53
170	305	51
171	306	49
172	307	48
173	308	46
174	309	44
175	311	42
176	312	40
177	313	38
178	314	36
179	316	35
180	317	33
181	318	31
182	319	29
183	320	27
184	321	26
185	322	24
186	323	22
187	325	20
188	326	18
189	327	17
190	328	15
191	329	13
192	331	12
193	332	10
194	333	8
195	334	6
196	335	5
197	336	3
198	337	1
199	338	0
429	0
6
198	601	3
199	602	0
